Food on the Table,,,,,,,,,,
Wikitongues,,,,,,,,,,
Osmotic Bubble: Creative Insight by Dint of Synchronized Atmospheres,,,,,,,,,,
~KNTRL~,,,,,,,,,,
Shi's Babyhood,,,,,,,,,,average word length
Hello Compost,,,,,,,,,,words that arent in the dictionary/not real words
22/15,,,,,,,,,,"flecsh index, readability"
Tectonic Illusions,,,,,,,,,,"concordance, word count"
Fall 2014/2015 Menswear Line,,,,,,,,,,
Reminiscence of Sky,,,,,,,,,,
Amplify,,,,,,,,,,
SHIFT - Creating a sensual experience by utilizing the thresholds of the visual system,,,,,,,,,,
Roly Poly Rug,,,,,,,,,,
Amanda Goldstein,,,,,,,,,,
Soundwave Preparations,,,,,,,,,,
Willy is Dead,,,,,,,,,,
Divide,,,,,,,,,,
Clear Eyes, Full Hearts,,,,,,,,,
Engaging Public Light: design strategies and interventions for the pedestrian nightscape,,,,,,,,,,
Contemporary Encounters: Wandering the Connected City,,,,,,,,,,
An End in Itself,,,,,,,,,,
Time Traveller (Identity and Ethos),,,,,,,,,,
KG Projects,,,,,,,,,,
Jhoule,,,,,,,,,,
Perspiecere/ too see through,,,,,,,,,,
Detective,,,,,,,,,,
Subway Politics: Aiming for Public Participation in Transit Planning,,,,,,,,,,
XXXXXXXXXL,,,,,,,,,,
Daniela Jacobs,,,,,,,,,,
An Introduction to the World,,,,,,,,,,
"Sprat Theatre Company: ""One Day in the Life of Henri Shnuffle""",,,,,,,,,,
Recall,,,,,,,,,,
SENSE THE MOMENT - an experiential redesign of the everyday interior ,,,,,,,,,,
Love Immortal,,,,,,,,,,
Tapestry in the Expanded Field: An Analysis of Contemporary Narrative Tapestry  with Special Emphasis on BjÌürn NÌürgaard's History of Denmark Series, 1988-2000,,,,,,,,,
Manhattan Ville,,,,,,,,,,
A Visuo-Spatial Journey with Light,,,,,,,,,,
Coding Non Stop,,,,,,,,,,
Charles Le Brun and the Replicas of the Triumphs of Alexander: Extending a Reputation Through Weaving and Print,,,,,,,,,,
Fashioning Femininity: Gender, Dress and Identity in Nineteenth-Century Colombia,,,,,,,,,
The Mason Hotel,,,,,,,,,,
pH: West Hill,,,,,,,,,,
DISCARDED RITUAL,,,,,,,,,,
Be Hidden, Be Seen: Lighting Design Solutions for Preventing Roadkill,,,,,,,,,
Al Ahmadi: The Early Days // Excavating Alternative Narratives of Kuwait's First Colonial Company Town between 1946-1975,,,,,,,,,,
East Harlem Tutorial Program,,,,,,,,,,
Argha: The Difficulty of Being a Woman, Fights and Moments of Glory,,,,,,,,,
Untitled (Triptych),,,,,,,,,,
KRAHM,,,,,,,,,,
Untitled,,,,,,,,,,
NYCHA 2.0,,,,,,,,,,
Striving Through: Designing for Social Resilience,,,,,,,,,,
Entropic Decadence,,,,,,,,,,
Contrasting The Way,,,,,,,,,,
Sensory Pathways for the Plastic Mind:,,,,,,,,,,
In/n Performance ,,,,,,,,,,
Poetic Negotiations,,,,,,,,,,
The Collective View,,,,,,,,,,
fogon,,,,,,,,,,
The Hospitable Hotel of Tomorrow,,,,,,,,,,
Upinnaq,,,,,,,,,,
Somewhere Else,,,,,,,,,,
The Doc Will See You Now,,,,,,,,,,
Industrial Xylem,,,,,,,,,,
Pepper House,,,,,,,,,,
The Wise Choice,,,,,,,,,,
Future Storytelling,,,,,,,,,,
Living Acre,,,,,,,,,,
Untitled,,,,,,,,,,
The Beast Within,,,,,,,,,,
Galaxy in space and Open your secret space ,,,,,,,,,,
Trophy,,,,,,,,,,
Reflection,,,,,,,,,,
D-fuzz, Outdoor table lamp,,,,,,,,,
Mokuba (Design Studio 2),2014,,,,,,,,,
Sounding Domestic,,,,,,,,,,
Entry Diagram,,,,,,,,,,
Interior Visual Layering: Exposing Unexpected Details,,,,,,,,,,
Beethoven Symphony No.9 Musical Notation Experiments,,,,,,,,,,
Unfinished Creative Work,,,,,,,,,,
The Return,,,,,,,,,,
Wanted Design Furniture Store,,,,,,,,,,
She,,,,,,,,,,
Kumari Waters,,,,,,,,,,
Drifting Wayfarer ___,,,,,,,,,,
Prodega,,,,,,,,,,
Happenings,,,,,,,,,,
Communication,,,,,,,,,,
Natural Tasting (2015-2016),,,,,,,,,,
Luminance as an Alternative Metric for Lighting Design ,,,,,,,,,,
Red Building Standing,,,,,,,,,,
The Mother Nation: Family Memory, Storytelling, and Mestizaje,,,,,,,,
Project Hotel One Madison,,,,,,,,,,
Mytropolis,,,,,,,,,,
A Piece of Home,,,,,,,,,,
I Do Not Leave My Treehouse,,,,,,,,,,
Creating Critter Worlds,,,,,,,,,,
